manual transcription;audio;language;emotion
[non-verbal] I don't know what's happening, I'm sorry.;f_ans001aen.wav;en;fear
It's more like having a presentiment, do you know what I'm saying?;f_ans003aen.wav;en;fear
Don't touch me, better if you don't.;f_ans004aen.wav;en;fear
In Wellfleet, you were there, we were all there.;f_ans005aen.wav;en;fear
Yes, but they were new arrivals. New women were arriving all the time. So the [non-verbal] ...;f_ans007sen.wav;en;fear
I got really scared.;f_ans009ben.wav;en;fear
You're not doing this move just for me, are you? I mean ...;f_ans010aen.wav;en;fear
Please, talk to me, tell me what happened.;f_ans012aen.wav;en;fear
I can't tell you. Someone might get hurt.;f_ans019aen.wav;en;fear
It was once, it's not anymore.;f_ans021aen.wav;en;fear
I'd been sleeping with him, and I was out on the back porch.;f_ans030aen.wav;en;fear
You can't. There's kids.;f_ans032aen.wav;en;fear
All his talk. So much trouble.;f_ans040aen.wav;en;fear
He's been sleeping nights down in the Hooverville.;f_ans041aen.wav;en;fear
My brother didn't have room for both him and us.;f_ans041ben.wav;en;fear
Mike said, you know, if he had to stay down there anyway.;f_ans042aen.wav;en;fear
He was gonna try to get everybody organized.;f_ans042ben.wav;en;fear
Something's wrong Jim, I know it.;f_ans043aen.wav;en;fear
Now I'm here and there's some trouble in Hooverville.;f_ans044aen.wav;en;fear
He wouldn't leave me and the baby for this long.;f_ans044ben.wav;en;fear
I didn't know who else to come to Jim.;f_ans045aen.wav;en;fear
No, but I think that they saw me.;f_ans048aen.wav;en;fear
It didn't mean anything to me at the time.;f_ans049aen.wav;en;fear
But rather I didn't know what it meant.;f_ans050aen.wav;en;fear
But it's impossible.;f_ans901aen.wav;en;fear
Never allow such an aberration, believing in the dead.;f_ans901ben.wav;en;fear
I will only meet you at the end of eternity.;f_ans901cen.wav;en;fear
It wasn't her.;f_ans902aen.wav;en;fear
It was the old woman.;f_ans902ben.wav;en;fear
With strange eyes she was imitating my daughter's voice.;f_ans902cen.wav;en;fear
I'd swear to God that it wasn't my daughter.;f_ans902den.wav;en;fear
Oh God, God help me.;f_ans902een.wav;en;fear
I don't know what's the matter with me.;f_ans902fen.wav;en;fear
They know I'd never hurt them, I [non-verbal] ...;f_ans903aen.wav;en;fear
It's in the hands of some physician I have never even met.;f_ans999aen.wav;en;fear
I mean, of course I'm worried about Ray.;f_ans999ben.wav;en;fear
If anything, he's not good with this stuff. [non-verbal];f_ans999cen.wav;en;fear
Telling me that she's always complaining, that's not picking on her? I think so.;f_dis008aen.wav;en;disgust
I'm saying, Vanessa, that even crazy people like to be asked.;f_dis010aen.wav;en;disgust
Yeah, whoopee.;f_dis016aen.wav;en;disgust
Sweetheart, I do love you, but sometimes I have to wonder if you really are my ...;f_dis024aen.wav;en;disgust
You've always been more like your father.;f_dis025aen.wav;en;disgust
What is it exactly that you want?;f_dis026aen.wav;en;disgust
You can give me the gun or give me back the money.;f_dis027aen.wav;en;disgust
And I'm really hoping for the money.;f_dis027ben.wav;en;disgust
Can I have them?;f_dis028aen.wav;en;disgust
My father is from Puerto Rico. My mother is from El Salvador.;f_dis036aen.wav;en;disgust
Neither one of those is Mexico.;f_dis036ben.wav;en;disgust
I don't know. Isn't she sick?;f_dis037aen.wav;en;disgust
I thought sick people sometimes make things up.;f_dis038aen.wav;en;disgust
A woman you were treating killed her husband.;f_dis039aen.wav;en;disgust
Why are you buying this land, Mr. Bloom?;f_dis042aen.wav;en;disgust
Instead of buying a convertible, you buy a town?;f_dis043aen.wav;en;disgust
That wasn't a question.;f_dis108aen.wav;en;disgust
And you can do anything, right?;f_dis150aen.wav;en;disgust
And before today, you had never heard of me?;f_dis202aen.wav;en;disgust
Has she died or something?;f_dis204aen.wav;en;disgust
One time an assistant left the desk because she sliced her hand open with a letter opener.;f_dis205aen.wav;en;disgust
Oh you'd have saved your heads being chopped off by the Romans, that's true.;f_dis901aen.wav;en;disgust
So you both would have lied to the point of denying Christ?;f_dis902aen.wav;en;disgust
I just want you to come to California with me.;f_gio009aen.wav;en;happiness
Congratulations on your unfettered ascendancy at Wyant Wheeler.;f_gio011aen.wav;en;happiness
Oh thank you Miss Burton, now ...;f_gio012aen.wav;en;happiness
Take that note under consideration.;f_gio012ben.wav;en;happiness
Well that's a big surprise. [non-verbal];f_gio014aen.wav;en;happiness
I'm not a psycho.;f_gio016aen.wav;en;happiness
She didn't call me Emily, isn't that great?;f_gio017aen.wav;en;happiness
It is you.;f_gio030aen.wav;en;happiness
Clearer than that.;f_gio034aen.wav;en;happiness
One night he climbed over the bar and offered to teach me how to make them.;f_gio040aen.wav;en;happiness
This is wonderful.;f_gio045aen.wav;en;happiness
I told them I had to spend the evening with him.;f_gio049aen.wav;en;happiness
Britain's premier equestrian journalist.;f_gio049ben.wav;en;happiness
It's just hot in here, that's all.;f_gio101aen.wav;en;happiness
Oh, I thought you meant the judge! [non-verbal];f_gio120aen.wav;en;happiness
Thanks a lot!;f_gio123aen.wav;en;happiness
Will you relax? I know it's a big deal day.;f_gio125aen.wav;en;happiness
Oh that's all.;f_gio126aen.wav;en;happiness
I thought you might be in the middle of some tempestuous romance.;f_gio133aen.wav;en;happiness
Happy Birthday! [non-verbal];f_gio144aen.wav;en;happiness
No ... [non-verbal] yeah!;f_gio162aen.wav;en;happiness
Do you write about Sister Drummond?;f_gio202aen.wav;en;happiness
Do you write about me?;f_gio203aen.wav;en;happiness
Can I look?;f_gio204aen.wav;en;happiness
It's nice.;f_gio206aen.wav;en;happiness
Is that such a bad thing boss?;f_gio207aen.wav;en;happiness
I gotta agree I am embarrassing myself.;f_gio208aen.wav;en;happiness
Thirty-one until my next birthday.;f_gio209aen.wav;en;happiness
Beautiful.;f_gio210aen.wav;en;happiness
I love London.;f_gio211aen.wav;en;happiness
What's it mean?;f_gio212aen.wav;en;happiness
... wait until he got around to it.;f_gio214aen.wav;en;happiness
I seem to be in some strange sort of mood.;f_gio999ben.wav;en;happiness
Where are you?;f_rab003aen.wav;en;anger
My two little daughters singing stupid fucking songs from those stupid fucking commercials.;f_rab007aen.wav;en;anger
No such obligation!;f_rab008aen.wav;en;anger
Everywhere I am attended by doctors who inform me of my own interests!;f_rab009aen.wav;en;anger
I'm dying in this town.;f_rab010aen.wav;en;anger
The entire British press got up this morning and thought: 'I know where Anna Scott is'.;f_rab012aen.wav;en;anger
She's in that house with the blue door in Notting Hill.;f_rab012ben.wav;en;anger
In your goddamn underwear.;f_rab012cen.wav;en;anger
I come to you to protect myself against more crappy gossip and now I've just landed in it all over again.;f_rab013aen.wav;en;anger
For God's sake, I've got a boyfriend.;f_rab013ben.wav;en;anger
And now tomorrow there'll be pictures of you in every newspapers from here to Timbuktu.;f_rab014aen.wav;en;anger
All right, this is the perfect situation for you, isn't it?;f_rab015aen.wav;en;anger
Minimum input, maximum publicity.;f_rab015ben.wav;en;anger
Everywhere you go people will say: 'Oh well done, you've slept with that actress'.;f_rab015cen.wav;en;anger
We saw the picture.;f_rab015den.wav;en;anger
What is your obsession with this money?;f_rab027aen.wav;en;anger
You're afraid that I won't love you back.;f_rab029aen.wav;en;anger
You realize this is probably the most valuable thing we own.;f_rab037aen.wav;en;anger
I want to know when the hell you're coming home, now!;f_rab042aen.wav;en;anger
You leave her alone!;f_rab064aen.wav;en;anger
Change on the inside!;f_rab068aen.wav;en;anger
Take chances, make mistakes.;f_rab068ben.wav;en;anger
Yes! Sometimes it's important not to be perfect, okay? It's important to do the wrong thing.;f_rab069aen.wav;en;anger
No, to make them.;f_rab070aen.wav;en;anger
To find out what's real and what's not. To find out what you feel.;f_rab070ben.wav;en;anger
No boxing out of the house. All right?;f_rab082aen.wav;en;anger
No boxing. Period!;f_rab082ben.wav;en;anger
You're gonna stay in school.;f_rab083aen.wav;en;anger
And then you're gonna go to college and you're gonna have professions.;f_rab083ben.wav;en;anger
Because you're not gonna have your skulls smashed in too!;f_rab083cen.wav;en;anger
Do you understand me?;f_rab084aen.wav;en;anger
Is that clear?;f_rab084ben.wav;en;anger
But you find a way out of that fight. Break your hand again if you have to.;f_rab087aen.wav;en;anger
Well I got scared and I didn't say anything. And ten seconds later I had a gun in my face.;f_rab089cen.wav;en;anger
And this time it'd be really fucking great if you acted like you actually gave a shit.;f_rab090ben.wav;en;anger
Do you have any idea how that felt?;f_rab092aen.wav;en;anger
To have that pig's hands all over me.;f_rab092ben.wav;en;anger
It doesn't make sense that you are sitting here doing this all day long.;f_rab098aen.wav;en;anger
The case is over.;f_rab099aen.wav;en;anger
Bullshit John, it is splashed all over you. It's gonna follow you around forever.;f_rab102aen.wav;en;anger
But that seems hard for you.;f_rab104aen.wav;en;anger
I could have stopped him.;f_tri002aen.wav;en;sadness
I was aware that he would sometimes ...;f_tri004aen.wav;en;sadness
Wake up.;f_tri004ben.wav;en;sadness
Crawl out of bed.;f_tri005aen.wav;en;sadness
And walk about.;f_tri005ben.wav;en;sadness
He could open the baby gate.;f_tri006aen.wav;en;sadness
Will this just go on and on?;f_tri009aen.wav;en;sadness
Those things.;f_tri032cen.wav;en;sadness
Briony, there isn't much time.;f_tri039aen.wav;en;sadness
Robbie has to report for duty at six.;f_tri039ben.wav;en;sadness
And he's got a train to catch.;f_tri039cen.wav;en;sadness
I'm very, very sorry.;f_tri040aen.wav;en;sadness
For the terrible distress that I've caused.;f_tri040ben.wav;en;sadness
I'm very, very sorry.;f_tri040cen.wav;en;sadness
He said that if you said that ...;f_tri046aen.wav;en;sadness
He has commitment papers for me to sign.;f_tri046ben.wav;en;sadness
Would you have hurt me, John?;f_tri047aen.wav;en;sadness
But my, my girls, I just ...;f_tri049aen.wav;en;sadness
It's great here, it's really great. [non-verbal];f_tri055aen.wav;en;sadness
I don't know, I went to this shrine today.;f_tri055ben.wav;en;sadness
There were these monks and they were chanting.;f_tri056aen.wav;en;sadness
And ... I didn't feel anything.;f_tri056ben.wav;en;sadness
Nothing, it's okay. I'll call you later, okay?;f_tri057aen.wav;en;sadness
Do I make her proud?;f_tri071aen.wav;en;sadness
Jim, you didn't see.;f_tri081aen.wav;en;sadness
You weren't here.;f_tri081ben.wav;en;sadness
You would take me there with you.;f_tri091ben.wav;en;sadness
I only wish I were part of it.;f_tri094aen.wav;en;sadness
Then we must end this.;f_tri095ben.wav;en;sadness
Without that family, you could never have written anything like this.;f_tri096aen.wav;en;sadness
You need them.;f_tri096ben.wav;en;sadness
It just bled like hell.;m_ans001aen.wav;en;fear
This guy tried to mug me and I swung on him and he sliced me.;m_ans002aen.wav;en;fear
So I'm walking to my car.;m_ans003aen.wav;en;fear
I say I don't smoke. He says neither does he.;m_ans003ben.wav;en;fear
My heart starts clocking a buck fifty because there is no one around but me and him.;m_ans003cen.wav;en;fear
The mugger! I see how your mind's working.;m_ans007aen.wav;en;fear
I come home with blood on me the same night Katie's murdered.;m_ans007ben.wav;en;fear
I must have killed her, right?;m_ans007cen.wav;en;fear
I can't trust my mind anymore, Celeste. I'm warning you.;m_ans008aen.wav;en;fear
I don't know.;m_ans013aen.wav;en;fear
My name is Very Fucking Confused. What's your name?;m_ans014aen.wav;en;fear
What's going on here?;m_ans014ben.wav;en;fear
I went to bed in my shithole apartment and woke up in an actual shithole.;m_ans015ben.wav;en;fear
This is what they do man. They kidnap you and drug you.;m_ans016aen.wav;en;fear
Before you know it, you're lying in a bathtub and your kidneys are on eBay.;m_ans016ben.wav;en;fear
I'm not gonna risk breaking it. You throw me your tape!;m_ans017aen.wav;en;fear
Probably a joke, right?;m_ans018aen.wav;en;fear
Who is that?!;m_ans020aen.wav;en;fear
Who's in there?!;m_ans020ben.wav;en;fear
Come out!;m_ans020cen.wav;en;fear
I'll kill you, you motherfucker!;m_ans020den.wav;en;fear
Who is this?;m_ans021aen.wav;en;fear
Yeah baby, it's me. I'm here.;m_ans022aen.wav;en;fear
With all due respect, this is preposterous! It doesn't make any sense!;m_ans030aen.wav;en;fear
What is that smell?;m_ans101aen.wav;en;fear
I need you!;m_ans103aen.wav;en;fear
Lawrence, get up!;m_ans103cen.wav;en;fear
Thank God! I thought you were dead!;m_ans104aen.wav;en;fear
I told you. The same thing happened to me, see?;m_ans105aen.wav;en;fear
I wasn't lying, see?;m_ans105ben.wav;en;fear
Help! Someone help me!;m_ans107aen.wav;en;fear
Probably dead.;m_ans123aen.wav;en;fear
Who's that?;m_ans124aen.wav;en;fear
Who's that?;m_ans124ben.wav;en;fear
Lawrence, get up!;m_ans150aen.wav;en;fear
You know it's like saying: 'It's not a riot, it's rage. It's not crime, it's poverty.';m_dis001aen.wav;en;disgust
Look at this sorry, miserable, squashed thing.;m_dis002aen.wav;en;disgust
Can anybody tell me what's wrong with this picture?;m_dis002ben.wav;en;disgust
Well, [non-verbal], let's see.;m_dis003aen.wav;en;disgust
On my sixth birthday, my best friend at the time, Scott Tibbs, stabbed me with a rusty nail.;m_dis003ben.wav;en;disgust
What I saw was you get into your car. That's it.;m_dis004aen.wav;en;disgust
I don't know how I got here, I don't know how you got here.;m_dis004cen.wav;en;disgust
Really? Obviously this cop thinks you are the one behind it all.;m_dis005aen.wav;en;disgust
I keep regular office hours if there's any further information you might need on sayings, common phrases ...;m_dis008ben.wav;en;disgust
My door's wide open.;m_dis008cen.wav;en;disgust
Well, I'll make a note of it. Anything else I can do for you?;m_dis011aen.wav;en;disgust
You include me out. I've had enough of the convocations.;m_dis013aen.wav;en;disgust
And it seems you do too.;m_dis014aen.wav;en;disgust
Mother, I'm a very busy man.;m_dis015aen.wav;en;disgust
I do not have time to help ... it pursue some ridiculous lawsuit.;m_dis015ben.wav;en;disgust
Well, that's mutation, Mother. The miracle of genetics is I'm not you.;m_dis016aen.wav;en;disgust
So you'd be gone for quite a long time.;m_dis017aen.wav;en;disgust
I live with you. I know how much you study, or I should say don't study. And you do better than me.;m_dis018ben.wav;en;disgust
I will save lives that could have otherwise not been saved.;m_dis020aen.wav;en;disgust
You know, maybe I am. But you ask the average person ...;m_dis021aen.wav;en;disgust
When death comes knocking at their door ... whether they want a prick on their side.;m_dis021ben.wav;en;disgust
Is it because your father was a doctor and his father was a doctor, some sort of genetic thing?;m_dis023ben.wav;en;disgust
People are good. Trust people?;m_dis027ben.wav;en;disgust
Maybe you got a bunch of fat and happy fighters at home ... can afford to rest a month between bouts. I don't know. Lucky you! ;m_dis031ben.wav;en;disgust
Saddam. His, his name's Saddam? Well that's, that's real good Bruce.;m_dis035aen.wav;en;disgust
I misplaced an important complaint. That's their story.;m_dis044aen.wav;en;disgust
Wanna hear mine?;m_dis044ben.wav;en;disgust
He's an idiot.;m_gio001aen.wav;en;happiness
He's always been an idiot.;m_gio001ben.wav;en;happiness
Great. Thanks.;m_gio002aen.wav;en;happiness
Wish me luck.;m_gio002ben.wav;en;happiness
On for a video fest tonight?;m_gio003aen.wav;en;happiness
I got some absolute classics.;m_gio003ben.wav;en;happiness
Come on, one dance!;m_gio005aen.wav;en;happiness
You told me every other fucking thing.;m_gio010aen.wav;en;happiness
Everybody has their own idea of what they think paradise is. [non-verbal];m_gio014aen.wav;en;happiness
Relax, it's okay. There is no point in being nuts if you can't have a little fun.;m_gio018aen.wav;en;happiness
Gee, I love you guys.;m_gio022aen.wav;en;happiness
For the first time in eighteen years I'm going to be able to call the shots in my own life. Oh my God!;m_gio023aen.wav;en;happiness
Well, as often as they can.;m_gio034aen.wav;en;happiness
Jesus H. Christ!;m_gio041aen.wav;en;happiness
Jesus, Mary and Joseph!;m_gio041ben.wav;en;happiness
You know, I might as well get an Ahooga horn and chase him around the ring.;m_gio046aen.wav;en;happiness
You think because of that, the audience won't recognize him as being a black man?;m_gio049aen.wav;en;happiness
Mr. Wheeler, you are magnificent.;m_gio058aen.wav;en;happiness
I get your logic. Demi-capu coming right up.;m_gio062aen.wav;en;happiness
That's some of the best shit I've ever heard come out of your mouth.;m_gio100aen.wav;en;happiness
Give the guy a break.;m_gio101aen.wav;en;happiness
I don't know. The girls like it.;m_gio102aen.wav;en;happiness
Is that any way to talk to a guest? A friend of the family?;m_gio103aen.wav;en;happiness
Fucking A. Back from the dead.;m_gio105aen.wav;en;happiness
Fifty fucking pounds, man.;m_gio106aen.wav;en;happiness
I'm telling you, man, this kid is awesome as hell.;m_gio107aen.wav;en;happiness
I lost count, man.;m_gio108aen.wav;en;happiness
Doesn't matter, man.;m_gio108ben.wav;en;happiness
Make that second most beautiful invention!;m_gio111aen.wav;en;happiness
I'd feel a bit of a fool handing it over myself.;m_gio129aen.wav;en;happiness
[non-verbal] I just use it for clean-up.;m_gio130aen.wav;en;happiness
[non-verbal] I gotta go see about a girl.;m_gio135aen.wav;en;happiness
Everybody has their own idea of what they think paradise is. [non-verbal];m_gio140aen.wav;en;happiness
The wife thinks it's paradise.;m_gio140ben.wav;en;happiness
So I shared that with you.;m_gio144aen.wav;en;happiness
And one night it was so loud it woke the dog up.;m_gio144ben.wav;en;happiness
Well, like I say, they make me ask. You understand.;m_gio145aen.wav;en;happiness
A walk!;m_rab002aen.wav;en;anger
Is that all? Just a walk.;m_rab002ben.wav;en;anger
You've tried to kill yourself twice.;m_rab005den.wav;en;anger
It was done for you!;m_rab006aen.wav;en;anger
It was done for your betterment!;m_rab006ben.wav;en;anger
It was done out of love!;m_rab006cen.wav;en;anger
And it fucking pisses me off!;m_rab010ben.wav;en;anger
Shut the fuck up!;m_rab021aen.wav;en;anger
This is my daughter I'm talking about!;m_rab021ben.wav;en;anger
Everybody shut up!;m_rab021cen.wav;en;anger
Shut up!;m_rab021den.wav;en;anger
Why the hell did you think I was there?;m_rab022aen.wav;en;anger
Tell me, I'm asking: 'What is there to understand?';m_rab027aen.wav;en;anger
Why do you think he does that, Gerry? Do you have any fucking clue why?;m_rab050aen.wav;en;anger
It's not about you, you mathematical dick!;m_rab055aen.wav;en;anger
He is a good kid!;m_rab055den.wav;en;anger
Did you hear me? Shut up!;m_rab064aen.wav;en;anger
Now you either tell me what is really going on or I'll cut you with this, you hear me? I'll cut ...;m_rab067aen.wav;en;anger
Well then don't keep me in the dark about what you're thinking!;m_rab070aen.wav;en;anger
Does that mean you saw what happened to me?;m_rab072aen.wav;en;anger
You goddamn well should!;m_rab084aen.wav;en;anger
Yes!;m_rab085aen.wav;en;anger
I don't care if you love him!;m_rab087aen.wav;en;anger
I'm telling you!;m_rab087ben.wav;en;anger
There's a bus full of dead people!;m_rab089ben.wav;en;anger
Who? Someone you know?;m_rab090aen.wav;en;anger
No, you didn't tell me.;m_rab092aen.wav;en;anger
I don't like you!;m_rab095aen.wav;en;anger
Because you make my effort a joke!;m_rab096aen.wav;en;anger
I want to be a doctor! This isn't a game to me!;m_rab096ben.wav;en;anger
This isn't playtime!;m_rab097aen.wav;en;anger
This is serious business!;m_rab097ben.wav;en;anger
How hard can that be?;m_rab102aen.wav;en;anger
Fights being stopped by referees? He's pathetic!;m_rab115aen.wav;en;anger
What does that mean?;m_rab121aen.wav;en;anger
If she's not guilty, why am I?;m_rab121ben.wav;en;anger
Makes you feel ...;m_tri002aen.wav;en;sadness
... alian.;m_tri002ben.wav;en;sadness
You know, after ...;m_tri004ben.wav;en;sadness
... then I ever was of being in ...;m_tri004een.wav;en;sadness
I loved her.;m_tri005aen.wav;en;sadness
When we were sitting in that kitchen that night ...;m_tri005cen.wav;en;sadness
I don't want it.;m_tri005een.wav;en;sadness
She had to go meet Eve and Diane.;m_tri007cen.wav;en;sadness
We were gonna leave Sunday.;m_tri008aen.wav;en;sadness
We were gonna get married when we got there.;m_tri008ben.wav;en;sadness
I loved her so much.;m_tri009aen.wav;en;sadness
It doesn't happen twice.;m_tri009cen.wav;en;sadness
But now she wants to die.;m_tri011aen.wav;en;sadness
And I swear to God, Father ...;m_tri011cen.wav;en;sadness
It's comitting a sin by doing it.;m_tri011den.wav;en;sadness
By keeping her alive I'm killing her.;m_tri011een.wav;en;sadness
Do you know what I mean?;m_tri011fen.wav;en;sadness
How do I get around that?;m_tri011gen.wav;en;sadness
Went to see Maggie this morning.;m_tri012aen.wav;en;sadness
You must have been somewhere else.;m_tri012ben.wav;en;sadness
But maybe you won't sign them.;m_tri014aen.wav;en;sadness
Maybe you'll just give me some time.;m_tri014ben.wav;en;sadness
I will try to figure this out.;m_tri014cen.wav;en;sadness
Whatever you do, Rosen is right about one thing.;m_tri015aen.wav;en;sadness
You shouldn't be here.;m_tri015ben.wav;en;sadness
I'm not safe anymore.;m_tri015cen.wav;en;sadness
You have a gift.;m_tri020aen.wav;en;sadness
You know, they like you.;m_tri021aen.wav;en;sadness
And if you leave, I can't learn this way.;m_tri021ben.wav;en;sadness
Couldn't help that one.;m_tri025ben.wav;en;sadness
And he can't stop thinking about Annie.;m_tri026aen.wav;en;sadness
Ever since then, things have been different.;m_tri027aen.wav;en;sadness
He is not the same person that he used to be.;m_tri028aen.wav;en;sadness
And his wife ... doesn't like the person that he's become.;m_tri028ben.wav;en;sadness
And then one day Malcom meets this wonderful little boy.;m_tri029ben.wav;en;sadness
And Malcom decides to try and help this new boy.;m_tri030aen.wav;en;sadness
Cause he feels that ...;m_tri030ben.wav;en;sadness
... it would be like ... helping that other one too.;m_tri030cen.wav;en;sadness
You have to understand. When I was growing up, he was gone more than he was there.;m_tri038aen.wav;en;sadness
Maybe he never wanted a family.;m_tri040aen.wav;en;sadness
Whatever it is, he likes his second life ...;m_tri041aen.wav;en;sadness
... better and the reason that he tells his stories is because he can't stand this boring place.;m_tri041ben.wav;en;sadness
What's true?;m_tri042aen.wav;en;sadness
No sé lo que me pasa, lo siento.;f_ans001aes.wav;es;fear
Lo siento, he sido muy grosera.;f_ans002aes.wav;es;fear
Es como si tuviera un presentimiento, ¿sabes a qué me refiero?;f_ans003aes.wav;es;fear
No me toques, por Dios.;f_ans004aes.wav;es;fear
Sí, pero llegaban otras, llegaban mujeres constantemente así que ...;f_ans007aes.wav;es;fear
No lo sé. Estaba envolviendo unos ... unos vasos y unas cosas y ...;f_ans009aes.wav;es;fear
Me ha … me ha entrado mucho miedo.;f_ans009bes.wav;es;fear
No harás lo de la mudanza solo por mí, ¿verdad? En fin ...;f_ans010aes.wav;es;fear
Tú... tú deseas realmente hacerlo, ¿no?;f_ans010bes.wav;es;fear
Por favor, háblame, dime qué ha pasado.;f_ans012aes.wav;es;fear
No estoy ... no estoy mintiendo. Fuí a pedirle ayuda.;f_ans018aes.wav;es;fear
No puedo decírtelo. Harían daño a alguien.;f_ans019aes.wav;es;fear
¿Quién es usted?;f_ans024aes.wav;es;fear
Yo me había acostado con él y estaba sentada en el porche.;f_ans030aes.wav;es;fear
Nunca se calla. Se mete en líos.;f_ans040aes.wav;es;fear
Pasaba todas las noches en Hooverville.;f_ans041aes.wav;es;fear
Mi hermano no tenía sitio para los dos.;f_ans041bes.wav;es;fear
Mike dijo que si no había más remedio y tenía que vivir allí. ;f_ans042aes.wav;es;fear
Intentaría convencer a todos para que se organizaran.;f_ans042bes.wav;es;fear
Le ha pasado algo a Jim, estoy segura.;f_ans043aes.wav;es;fear
