manual transcription;audio;language;emotion
Sì un trionfo.;f_dis016ait.wav;it;disgust
Sei caduto e hai battuto la testa sul pavimento.;f_dis017ait.wav;it;disgust
Qualcun’altro ha un'idea che io possa utilizzare?;f_dis020ait.wav;it;disgust
Joid, tesoro caro, io ti voglio tanto bene.;f_dis024ait.wav;it;disgust
Ma a volte mi viene da chiedermi se tu sia veramente mio figlio.;f_dis024bit.wav;it;disgust
Sei sempre stato più simile a tuo padre.;f_dis025ait.wav;it;disgust
Ti dispiacerebbe dirmi cosa vuoi esattamente?;f_dis026ait.wav;it;disgust
Ora lei mi dà la pistola o mi ridà i miei soldi.;f_dis027ait.wav;it;disgust
E io preferirei di gran lunga i miei soldi.;f_dis027bit.wav;it;disgust
Me le da per favore?;f_dis028ait.wav;it;disgust
Oh sì, ci avrebbero sparato in mezzo al boulievard.;f_dis029ait.wav;it;disgust
Mio padre è del Puerto Rico, mia madre è del Salvador.;f_dis036ait.wav;it;disgust
Né l'uno né l'altro è il Messico.;f_dis036bit.wav;it;disgust
Non lo so. Non è malata?;f_dis037ait.wav;it;disgust
I malati a volte inventano le cose se non sbaglio.;f_dis038ait.wav;it;disgust
Una donna che aveva in cura ha ucciso il marito.;f_dis039ait.wav;it;disgust
Una benda per gli occhi.;f_dis048ait.wav;it;disgust
Oh smettila mamma. Ti farai venire una emorragia nasale.;f_dis106ait.wav;it;disgust
Me lo ricordi tutti i santi giorni.;f_dis107ait.wav;it;disgust
Non era una domanda.;f_dis108ait.wav;it;disgust
Qualcuno ha una sigaretta?;f_dis109ait.wav;it;disgust
E tu puoi fare qualsiasi cosa, giusto?;f_dis150ait.wav;it;disgust
Poteva anche salire il tuo amico gli facevo un caffé.;f_dis189ait.wav;it;disgust
Non sarà un novantotto ma sono ancora.;f_dis190ait.wav;it;disgust
In Texas non lo bevono il caffè?;f_dis191ait.wav;it;disgust
Larry, perché non te ne vai adesso.;f_dis192ait.wav;it;disgust
Certo che lo so.;f_dis219ait.wav;it;disgust
Sono guarita.;f_gio002ait.wav;it;happiness
Congratulazioni!;f_gio011bit.wav;it;happiness
Bene, grazie Signor Burton.;f_gio012ait.wav;it;happiness
Sai che sorpresa.;f_gio014ait.wav;it;happiness
Fantastica! È veramente grandiosa. Perfetto.;f_gio019ait.wav;it;happiness
Sei proprio tu!;f_gio030ait.wav;it;happiness
A volte, ma un po' più silenziosamente.;f_gio034ait.wav;it;happiness
No, mi serve un lottatore con una laurea.;f_gio038ait.wav;it;happiness
È meraviglioso.;f_gio045ait.wav;it;happiness
Al contrario.;f_gio047ait.wav;it;happiness
Nessuno mi fa ridelle come te.;f_gio100ait.wav;it;happiness
Ciao papá.;f_gio101ait.wav;it;happiness
Ho ordinato le partecipazioni due settimane fa.;f_gio103ait.wav;it;happiness
Forse dovresti solo, come dire.;f_gio106ait.wav;it;happiness
Tu e mio figlio portate la stessa taglia.;f_gio108ait.wav;it;happiness
Oh, mi scusi io … mi scusi.;f_gio109ait.wav;it;happiness
Ah mio dio Peter, siamo stati bambini in queste stanze.;f_gio110ait.wav;it;happiness
È sempre stato il mio nome preferito.;f_gio111ait.wav;it;happiness
E solo che … [non-verbal];f_gio112ait.wav;it;happiness
Che splendida idea.;f_gio113ait.wav;it;happiness
Ah questa casa! È questa casa che mi prende.;f_gio115ait.wav;it;happiness
Uno che lavora qui mi sembra un po' strano.;f_gio115bit.wav;it;happiness
Qui c'è qualcosa che mi ricorda la bambina che ero e che non mi ha mai abbandonata.;f_gio116ait.wav;it;happiness
Di quei che parlavano in latino.;f_gio116bit.wav;it;happiness
Non cominciare a vantarmi le meraviglie di quella schifezza. Io ti odiavo allora.;f_gio117ait.wav;it;happiness
Oh, credevo parlarsi del giudice.;f_gio120ait.wav;it;happiness
Avevo ragione.;f_gio122ait.wav;it;happiness
Grazie tante.;f_gio123ait.wav;it;happiness
Avanti, calmati.;f_gio125ait.wav;it;happiness
Sei splendente come un panno illustrato.;f_gio126ait.wav;it;happiness
Credevo che fossi prestato ad un amore tempestoso.;f_gio133ait.wav;it;happiness
Mio Dio guarda, mi sono ricoperta.;f_gio134ait.wav;it;happiness
CioÈ, tutto qua.;f_gio136ait.wav;it;happiness
No! [non-verbal] Sí! ;f_gio162bit.wav;it;happiness
[non-verbal] bene.;f_gio189ait.wav;it;happiness
Stai arteggiando qualcosa.;f_gio200ait.wav;it;happiness
È un fochettone da cucina.;f_gio203ait.wav;it;happiness
Che cosa hai detto.;f_gio218ait.wav;it;happiness
Solo le bimbettine con i boccoli d'oro.;f_gio219ait.wav;it;happiness
Buon compleanno!;f_gio344ait.wav;it;happiness
Bastardo!;f_rab002ait.wav;it;anger
Un dovere come questo Leonard non esiste.;f_rab008ait.wav;it;anger
Sono dovunque si prendono cura di me dei dottori che mi comunicano cosa è meglio nel mio interese.;f_rab009ait.wav;it;anger
Io muoio se resto ancora qui.;f_rab010ait.wav;it;anger
Dite così. No! questa è la mia!;f_rab010bit.wav;it;anger
I giornalisti Inglesi stamattina si svegliano e pensano: ‘Io lo so dove si trova Anna Scott’.;f_rab012ait.wav;it;anger
È in quela casa col portone blue a Notting Hill.;f_rab012bit.wav;it;anger
E poi te ne vai fori con quelle maledette mutande.;f_rab012cit.wav;it;anger
Santo Dio. Io ho un fidanzato.;f_rab013bit.wav;it;anger
E ora da domani ci saranno foto di te su tutti i giornali da qui a Timbuktu.;f_rab014ait.wav;it;anger
Certo, per te una situazione perfetta, vero?;f_rab015ait.wav;it;anger
Minimo imput massima pubblicità.;f_rab015bit.wav;it;anger
Dovunque andrai la gente dirà. Oh, complimenti a te, sei andato a letto con quell'attrice.;f_rab015cit.wav;it;anger
Abbiamo visto le foto.;f_rab015dit.wav;it;anger
Ti rendi conto ch’è la cosa più preziosa che possediamo.;f_rab037ait.wav;it;anger
Io voglio saperlo adesso, quando diavolo vine casa. Adesso!;f_rab042ait.wav;it;anger
Non provare a toccarla.;f_rab064ait.wav;it;anger
Corri qualche rischio. Fai qualche errore!;f_rab068bit.wav;it;anger
Per scoprire cosa è reale e cosa non lo è. Per scoprire quello che tu provi.;f_rab070bit.wav;it;anger
Niente box fuori casa. Capito.;f_rab082ait.wav;it;anger
Niente box. Punto e basta.;f_rab082bit.wav;it;anger
Voi andate a scuola.;f_rab083ait.wav;it;anger
E andrete all'università e avrete una professione.;f_rab083bit.wav;it;anger
Perché non vi farete sfondare il craneo anche voi.;f_rab083cit.wav;it;anger
Avete capito?;f_rab084ait.wav;it;anger
Sono stata chiara?;f_rab084bit.wav;it;anger
Fino ad ora.;f_rab085bit.wav;it;anger
Ma tirati fuori da quell incontro. Rompiti un'altra volta la mano se è necessario.;f_rab087ait.wav;it;anger
Benché avessi paura io non ho detto niente.;f_rab089cit.wav;it;anger
Ma io adesso ti dico che il tuo amico lì venderà la nostra chiave a qualche compare.;f_rab090ait.wav;it;anger
Voglio vedere se questa volta ti comporti come se non te nefregasse un cazzo.;f_rab090bit.wav;it;anger
Che non se ne sta lì a guardare mentre io vengo amonestata.;f_rab094ait.wav;it;anger
Non ha proprio senso che stai qui a fare questo tutto il giorno.;f_rab098ait.wav;it;anger
Il caso è chiuso.;f_rab099ait.wav;it;anger
I fotografi non ci sono più, i tuoi soci non ci sono più, ora non c'è più neanche la ricerca per il Dentrex.;f_rab100ait.wav;it;anger
È tutta colpa mia.;f_tri001ait.wav;it;sadness
Havrei potuto fermarlo.;f_tri002ait.wav;it;sadness
Si svegliava.;f_tri004bit.wav;it;sadness
E saltava giù dal latto.;f_tri005ait.wav;it;sadness
Se ne andava in giro.;f_tri005bit.wav;it;sadness
Si svegliava.;f_tri006ait.wav;it;sadness
Ed era confuso.;f_tri007ait.wav;it;sadness
[non-verbal] lo sono.;f_tri007bit.wav;it;sadness
Voglio morire anche io.;f_tri008ait.wav;it;sadness
Io che credevo di essere incinta.;f_tri014ait.wav;it;sadness
Una caramella ce l’ha?;f_tri017ait.wav;it;sadness
Mami ti manda milioni e milioni di baci.;f_tri018ait.wav;it;sadness
Tranne l’unica cosa che volevo.;f_tri023ait.wav;it;sadness
Se mai sono preoccupata per Greg se è una cosa che se lui non c’è la fa.;f_tri027ait.wav;it;sadness
Al fatto che Katy é morta.;f_tri032ait.wav;it;sadness
Ai poveri Anabet e Jimmy ecco.;f_tri032bit.wav;it;sadness
Ho preso Michael ieri sera.;f_tri033ait.wav;it;sadness
E sono andata in un Hotel.;f_tri033bit.wav;it;sadness
Non lo so Jimmy.;f_tri034ait.wav;it;sadness
Mi dispiace davvero.;f_tri040ait.wav;it;sadness
Per le sofferenze terribili che vi ho procurato.;f_tri040bit.wav;it;sadness
Davvero mi dispiace davvero.;f_tri040cit.wav;it;sadness
Tutto mi dispiace.;f_tri041ait.wav;it;sadness
Non sono mai stati aperti.;f_tri043ait.wav;it;sadness
Non esiste niente.;f_tri043bit.wav;it;sadness
Non cè nessuna cospirazione John.;f_tri043cit.wav;it;sadness
Non c’è nessun William Parker. ;f_tri044ait.wav;it;sadness
Non è reale, è solo nella tua mente.;f_tri044bit.wav;it;sadness
Sei malato.;f_tri045bit.wav;it;sadness
Sei malato John.;f_tri045cit.wav;it;sadness
Ha detto che se tu avessi detto questo …;f_tri046ait.wav;it;sadness
Ha dei documenti per il ricovero coatto da farmi firmare.;f_tri046bit.wav;it;sadness
Peró le mie, le mie figlie.;f_tri049ait.wav;it;sadness
È così ingiusto per le babine [non-verbal];f_tri049bit.wav;it;sadness
Comunque non ho …;f_tri052ait.wav;it;sadness
Ma in parte molto di quello che scrivono su di me.;f_tri052bit.wav;it;sadness
Un’alta delusione.;f_tri054ait.wav;it;sadness
Che se ne va.;f_tri054cit.wav;it;sadness
Fantastica, sì davvero fantastica.;f_tri055ait.wav;it;sadness
C'erano questi monaci che cantavano.;f_tri056ait.wav;it;sadness
Ma non mi sono imozionata per niente.;f_tri056bit.wav;it;sadness
Capisci?;f_tri056cit.wav;it;sadness
Niente di più importante. Ti richiamo dopo. Va bene?;f_tri057ait.wav;it;sadness
Fiera di tutto ciò che faccio.;f_tri071ait.wav;it;sadness
Uno ha cercato di aggredirmi ed io, le ho tirato un pugno e lui mi ha tagliato.;m_ans002ait.wav;it;fear
Io stavo andando verso la mia macchina.;m_ans003ait.wav;it;fear
Io dico: Non fumo. Lui dice: Ne anch'io. E allora.;m_ans003bit.wav;it;fear
Sento il cuore che si mette a dare mille perchè lì non c’è nessuno oltre a noi due.;m_ans003cit.wav;it;fear
Ah il rapinatore, lo so come funziona il tuo cervello, lo so.;m_ans007ait.wav;it;fear
Io torno a casa tutto insanguinato la notte che Katty viene uccisa.;m_ans007bit.wav;it;fear
E l’assassino sono io vero?;m_ans007cit.wav;it;fear
Io non mi fido più ne anche della mia mente, devo avvertirti.;m_ans008ait.wav;it;fear
Cazzo sta succedendo. Dove sono.;m_ans011ait.wav;it;fear
Dove diavolo siamo!;m_ans012ait.wav;it;fear
Non lo so.;m_ans013ait.wav;it;fear
Perché devo dirti il mio nome?;m_ans014ait.wav;it;fear
Che cosa ci faccio qui.;m_ans014bit.wav;it;fear
Non ricordo niente.;m_ans015ait.wav;it;fear
Sono andato al letto nel mio appartamento e mi risveglio in questo posto di merda.;m_ans015bit.wav;it;fear
Non voglio rischiare di romperlo. Lanciami la cassetta.;m_ans017ait.wav;it;fear
È solo solo un brutto scherzo, vero?;m_ans018ait.wav;it;fear
Chi è?!;m_ans020ait.wav;it;fear
Chi sai?!;m_ans020bit.wav;it;fear
Fatti vedere!;m_ans020cit.wav;it;fear
Ti ammazzo figlio di puttana!;m_ans020dit.wav;it;fear
Chi è che parla?;m_ans021ait.wav;it;fear
Piccola sono io. Ti sento.;m_ans022ait.wav;it;fear
William io non pensavo di dover fare questo.;m_ans023ait.wav;it;fear
... hai svolto un incarico top secret per il governo.;m_ans024ait.wav;it;fear
Esiste la minaccia di un disastro di proporzioni catastrofiche.;m_ans024bit.wav;it;fear
Con tutto il rispetto, questo è assolutamente ridicolo. Non ha alcun senso!;m_ans030ait.wav;it;fear
Accendi la luce!;m_ans100ait.wav;it;fear
Che cos'è questa puzza tremenda.;m_ans101ait.wav;it;fear
Ho bisogno di te.;m_ans103ait.wav;it;fear
Ne abbemo paura che fossi morto.;m_ans104ait.wav;it;fear
Mi è successa la stessa cosa anche a me.;m_ans105ait.wav;it;fear
Sono stato colpito da scarice elettriche.;m_ans106ait.wav;it;fear
Aiuto!;m_ans107ait.wav;it;fear
Qualcuno mi aiuti!;m_ans107bit.wav;it;fear
Sì, si chiama Sed.;m_ans112ait.wav;it;fear
Che stà succedendo.;m_ans114ait.wav;it;fear
Eh, solo solo il greletto.;m_ans115ait.wav;it;fear
Era un lupo mannaro.;m_ans119ait.wav;it;fear
Io non ho ucciso Katty.;m_ans120ait.wav;it;fear
Lei stava seduta sopra il letto, e …;m_ans122ait.wav;it;fear
Dove sono, nei regno dei morti?;m_ans123ait.wav;it;fear
Chi è!;m_ans124ait.wav;it;fear
Gli ho parlato.;m_ans124bit.wav;it;fear
Come quando si dice: Non è una rivolta, è rabbia.;m_dis001ait.wav;it;disgust
Gardate questa insignificante squallida cosa.;m_dis002ait.wav;it;disgust
Qualquno sa dirme in che somiglia alla foto?;m_dis002bit.wav;it;disgust
Aspetta la vediamo.;m_dis003ait.wav;it;disgust
Quando ho compiuto sei anni il mio miglior amico di allora mi ha ferito con un chiodo arruginito.;m_dis003bit.wav;it;disgust
Davvero? Eppure lo sbirro pensa che ci sia tu dietro tutto questo.;m_dis005ait.wav;it;disgust
Perché ti arrabbi? Guarda che non me ne frega niente.;m_dis007ait.wav;it;disgust
Lieto di esserle stato d'aiuto.;m_dis008ait.wav;it;disgust
Ho un orario di ufficio fisso. Se ci sono ulteriori informazioni che lei habbia bisogno su detti o qualche proverbio.;m_dis008bit.wav;it;disgust
La mia porta è apertissima.;m_dis008cit.wav;it;disgust
Magari la prossima volta che va all'ospedale potrebbe portare anche noi.;m_dis010ait.wav;it;disgust
Bene, nel prenderò nota. C'è altro che posso fare per lei?;m_dis011ait.wav;it;disgust
Non includermi ne ho abbastanza delle convocazioni.;m_dis013ait.wav;it;disgust
Papà starà benissimo. E poi lui a Jou.;m_dis014ait.wav;it;disgust
E sembra che c'è l’abbia anche tu.;m_dis014bit.wav;it;disgust
Mamma ho molto da fare ti prego.;m_dis015ait.wav;it;disgust
Non ho tempo per aiutare questo coso a intentare una causa ridicola e inutile.;m_dis015bit.wav;it;disgust
Questa è la mutazione mamma. Il miracolo della genetica è che non sono te.;m_dis016ait.wav;it;disgust
Io vivo con te a so quanto studi o dovrei dire non studi. Eppure vai meglio di me.;m_dis018bit.wav;it;disgust
Lasciamo perdere.;m_dis019ait.wav;it;disgust
Perché più apprendo e più potrò avere la risposta giusta al momento giusto e salvare delle vite.;m_dis020bit.wav;it;disgust
Ma chiedi a chi ti pare.;m_dis021ait.wav;it;disgust
Se vogliono avere uno stronzo al loro fianco.;m_dis021bit.wav;it;disgust
È perché tuo padre era dottore e suo padre era dottore?;m_dis023bit.wav;it;disgust
È una cosa genetica?;m_dis023cit.wav;it;disgust
Saddam, si chiama Saddam. Ah questo è fantastico Bruce.;m_dis035ait.wav;it;disgust
Certo, appunterò una medaglia su un iracheno che si chiama Sandam.;m_dis035bit.wav;it;disgust
Li costruisce i quartieri, non li vuole distruggere.;m_dis043ait.wav;it;disgust
Ho smarrito un ricorso importante. Questa è la loro versione.;m_dis044ait.wav;it;disgust
Vuole sentire la mia?;m_dis044bit.wav;it;disgust
O no potremmo anche convincere Alma a lasciarci adottare le mie figlie.;m_dis101ait.wav;it;disgust
A mantenere la baracca pensarebbe tuo suocero.;m_dis103ait.wav;it;disgust
E dai rubinetti uscirebbe il miele. Eh bravo genio. Un’idea geniale. Complimenti.;m_dis104ait.wav;it;disgust
Non ti ho detto neanche che la mia ultima ragazza era una femminista vegetariana.;m_dis105ait.wav;it;disgust
Ma Gerry non può obbligarci a fare cose vietate dalla legge.;m_dis107ait.wav;it;disgust
Della morte di un pedofilo non frega niente a nessuno. Perché non dire la verità.;m_dis108ait.wav;it;disgust
Oh, ne possiamo parlare, ma non andiamo avanti con il lavoro.;m_dis109ait.wav;it;disgust
Martin scusa non puoi occupartene tu.;m_dis110ait.wav;it;disgust
[non-verbal] è un'idiota.;m_gio001ait.wav;it;happiness
È sempre stato un ideota.;m_gio001bit.wav;it;happiness
Fammi gli auguri.;m_gio002bit.wav;it;happiness
Ho dei veri e propri classici.;m_gio003bit.wav;it;happiness
Sarebbe eccitante però non trovi se, se uno famoso entrasse nel negozio.;m_gio004ait.wav;it;happiness
Vado solo.;m_gio005ait.wav;it;happiness
Mi ha davero ipnotizzato Sed.;m_gio005bit.wav;it;happiness
Mi ha detto già qualunque cazzata.;m_gio010ait.wav;it;happiness
Cristo santo.;m_gio010bit.wav;it;happiness
Tutti hanno un’idea personale di quello che credono sia il paradiso.;m_gio014ait.wav;it;happiness
Accidenti che signora simpatica.;m_gio015ait.wav;it;happiness
Noioso da morire.;m_gio016ait.wav;it;happiness
[non-verbal] è meraviglioso ;m_gio017ait.wav;it;happiness
Rilassati lo so. A che scopo essere matto se non ti puoi divertire.;m_gio018ait.wav;it;happiness
Dio ... vi voglio bene.;m_gio022ait.wav;it;happiness
E poi mangiava una montagna di pure di patate.;m_gio044ait.wav;it;happiness
Potrai anche rimediare una trombetta e correrli indiatro intorno al ring.;m_gio046ait.wav;it;happiness
La gente non lo identificherà come personaggio di colore.;m_gio049ait.wav;it;happiness
[non-verbal] andiamo.;m_gio049bit.wav;it;happiness
Grazie non ho altre domande.;m_gio056ait.wav;it;happiness
Signor Wheeler è magnifico e straordinario.;m_gio058ait.wav;it;happiness
Capisco la tua logica. Mezzo cappucino in arrivo.;m_gio062ait.wav;it;happiness
Queste sono le parole migliori che potevano uscire.;m_gio100ait.wav;it;happiness
È questo il modo di parlare a unospite?;m_gio103ait.wav;it;happiness
Ho perso il conto.;m_gio108ait.wav;it;happiness
Arriverai, certo.;m_gio109ait.wav;it;happiness
Non sei meno [non-verbal];m_gio110ait.wav;it;happiness
Ecco la seconda più grande invenzione.;m_gio111ait.wav;it;happiness
Fantastico Larry. È meraviglioso, andremo daccordo vedrai.;m_gio113ait.wav;it;happiness
È un piacere vederti.;m_gio114ait.wav;it;happiness
Guarda che meraviglia.;m_gio115ait.wav;it;happiness
L’hai centrato!;m_gio116ait.wav;it;happiness
Sei un grande!;m_gio117ait.wav;it;happiness
Dave tu hai una vaga idea di che storia di successo sei diventato.;m_gio118ait.wav;it;happiness
Però tu Jimmy, guardi Brenda come se volessi staccarli il naso e farglielo mangiare.;m_gio119ait.wav;it;happiness
Non no no, stai fresca figurati [non-verbal];m_gio120ait.wav;it;happiness
Stava andando verso la sua macchina per tornare a casa.;m_gio121ait.wav;it;happiness
Forse c'è una critica.;m_gio122ait.wav;it;happiness
Credevo che il paradiso fosse avere dei bambini.;m_gio123ait.wav;it;happiness
Ah sì diceva così.;m_gio124ait.wav;it;happiness
Signora mi dispiace ma temo che ci sia un malinteso.;m_gio125ait.wav;it;happiness
Non sta mai seduta calma per un momento.;m_gio127ait.wav;it;happiness
No lo so perché.;m_gio128ait.wav;it;happiness
Mi sente un po' sciocco a dargliela di persona.;m_gio129ait.wav;it;happiness
Non è così, l’ho usato, soltanto per ripulire.;m_gio130ait.wav;it;happiness
Te ricordi che stavo solo scherzando.;m_gio132ait.wav;it;happiness
C’ha creduto eh! non era male [non-verbal];m_gio133ait.wav;it;happiness
Ok lo conosco il tipo.;m_gio134ait.wav;it;happiness
Ah  devo occuparmi di una ragazza.;m_gio135ait.wav;it;happiness
Senza cielo ciò ne doveo immaginarme.;m_gio136ait.wav;it;happiness
[non-verbal] grazie signora.;m_gio137ait.wav;it;happiness
Su questo non ci piove.;m_gio138ait.wav;it;happiness
Il vecchio Don è inutile come le tete su un cinghiale maschio.;m_gio139ait.wav;it;happiness
Tutti hanno un’idea personale di quello che credono sia il paradiso.;m_gio140ait.wav;it;happiness
Una passeggiata.;m_rab002ait.wav;it;anger
Tutto qui? Una passeggiata.;m_rab002bit.wav;it;anger
È stato fatto per te.;m_rab006ait.wav;it;anger
Perché tu potesti salvarti.;m_rab006bit.wav;it;anger
È stato fatto per amore.;m_rab006cit.wav;it;anger
Ho avuto il premio per la mia esibizione.;m_rab007ait.wav;it;anger
Credi che me lo avrebbero dato se fossi stato cosí.;m_rab009ait.wav;it;anger
E questo mi fa incazzare di bruto.;m_rab010bit.wav;it;anger
Se poi continuate a somministrarcele queste belle idiozie liberali.;m_rab019cit.wav;it;anger
Tutti si voltano dall’altra parte mentre il paese sta marcendo dal didentro.;m_rab019dit.wav;it;anger
Centotrentanni! Ma quanto tempo gli serve per riuscire ad integrarsi?;m_rab019fit.wav;it;anger
Non sono più un bambino di quattordici anni lo sai.;m_rab020ait.wav;it;anger
Zitti! Cazzo!;m_rab021ait.wav;it;anger
È di mia figlia che si stà parlando.;m_rab021bit.wav;it;anger
Dovete stare zitti!;m_rab021cit.wav;it;anger
Che diavolo c'ero venuto a fare.;m_rab022ait.wav;it;anger
Ma si guardi cazzo, lei è uno sposto.;m_rab045ait.wav;it;anger
Da lezioni ha me sulla vita.;m_rab045bit.wav;it;anger
Esatto è morta cazzo. Sua moglie creppa e lei s’incassa le sue fiscie e va via.;m_rab046ait.wav;it;anger
L’ha persa. Ha perso una grossa mano. Molte persone perdono una mano come questa ma hanno il fegato di ritornare in pista.;m_rab047ait.wav;it;anger
Ma perché credi che faccia così Jerry? Ti hè venuto il sospetto cazzo.;m_rab050ait.wav;it;anger
E tu e i tuoi colleghi mi vedete come un caso pietoso.;m_rab053cit.wav;it;anger
Io non te biasimo! Quio non si parla di te cazzone di un matematico.;m_rab055ait.wav;it;anger
È un bravo ragazzo!;m_rab055bit.wav;it;anger
Ve io non lascerò che tu lo faccia brandelli come ha cercato di fare a brandelli me ora.;m_rab055cit.wav;it;anger
Non lascerò che tu lo faccia sentire un fallito.;m_rab055dit.wav;it;anger
Io torno a casa quando o finite non un istante prima. È chiaro!?;m_rab064bit.wav;it;anger
O ti faccio a ffettine con questo!;m_rab067ait.wav;it;anger
E allora perché non mi dici quello che stai pensando!;m_rab070ait.wav;it;anger
E invece dovresti chiederlo!;m_rab084ait.wav;it;anger
Non mi interessa se lo ami!;m_rab087ait.wav;it;anger
C'è un autobus piano di morti!;m_rab089bit.wav;it;anger
Io voglio fare il medico questo non è un gioco per me.;m_rab096bit.wav;it;anger
Questo non è un passatempo.;m_rab097ait.wav;it;anger
Questa è una cosa molto seria.;m_rab097bit.wav;it;anger
Deve solo controllare che la sua testa sia un cazzo e stia attaccata al collo.;m_rab102bit.wav;it;anger
Un incontro interrotto dall’arbitro fa pena.;m_rab115ait.wav;it;anger
Cosa vorrebbe dire.;m_rab121ait.wav;it;anger
Ci può sentire.;m_tri001ait.wav;it;sadness
Così solo, sai fare del male a qualcuno.;m_tri001bit.wav;it;sadness
Ti fà sentire e come.;m_tri002ait.wav;it;sadness
Un alieno.;m_tri002bit.wav;it;sadness
Quando sono uscito di galera.;m_tri004ait.wav;it;sadness
Sai dopo ...;m_tri004bit.wav;it;sadness
Che per me quando ero in prigione.;m_tri004eit.wav;it;sadness
Le volevo bene.;m_tri005ait.wav;it;sadness
Soprattutto.;m_tri005bit.wav;it;sadness
Perché a quel tavolo di cucina quella sera.;m_tri005cit.wav;it;sadness
Era come se fossimo le ultime due pessone sulla terra.;m_tri005dit.wav;it;sadness
Rifiutati.;m_tri005eit.wav;it;sadness
Io voglio solo abbracciarla un’ultima volta.;m_tri006ait.wav;it;sadness
Verso le otto.;m_tri007ait.wav;it;sadness
E dovevamo partire domeni.;m_tri008ait.wav;it;sadness
Dovevamo sposarci appena arrivati.;m_tri008bit.wav;it;sadness
Era questo il piano.;m_tri008cit.wav;it;sadness
Io l’amavo da more.;m_tri009ait.wav;it;sadness
Non amerò nessun’altra così.;m_tri009bit.wav;it;sadness
Succede una volta sola.;m_tri009cit.wav;it;sadness
Però adesso ha deciso di morire.;m_tri011ait.wav;it;sadness
E invece voglio solo tenerlo con me.;m_tri011bit.wav;it;sadness
Le giuro su mio padre che sono.;m_tri011cit.wav;it;sadness
So che sarebbe peccato mortale farlo.;m_tri011dit.wav;it;sadness
Però ttenerla in vita è come ucciderla.;m_tri011eit.wav;it;sadness
Capisce Padre.;m_tri011fit.wav;it;sadness
Che cosa bisogna fare.;m_tri011git.wav;it;sadness
Sono andato a trovarla stamattina.;m_tri012ait.wav;it;sadness
Ho visto che tu non c’eri.;m_tri012bit.wav;it;sadness
Beh forse tu non le firmerai.;m_tri014ait.wav;it;sadness
Forse tu mi darai un po' di tempo.;m_tri014bit.wav;it;sadness
Ed io cercherò di trovare una soluzione.;m_tri014cit.wav;it;sadness
Qualunque cosa tu faccia Rosen ha ragione su un punto.;m_tri015ait.wav;it;sadness
Non sei più al sicuro con me.;m_tri015cit.wav;it;sadness
Non lo so.;m_tri016ait.wav;it;sadness
Forsé il dottor Rosen può accompagnarti da tua madre.;m_tri016bit.wav;it;sadness
Poi una sera scopre di aver commesso uno sbaglio con uno di loro.;m_tri025ait.wav;it;sadness
Quel momento non fa che pensare a lui, non può dimenticare.;m_tri026ait.wav;it;sadness
Lui non è più la stessa persona di una volta.;m_tri028ait.wav;it;sadness
A sua moglie non piace la persona che lui è diventata.;m_tri028bit.wav;it;sadness
A malappena si parlano. Ormai sono due strani.;m_tri029ait.wav;it;sadness
E poi un giorno Malcom incontra un bambino meraviglioso.;m_tri029bit.wav;it;sadness
Malcom decide di tentare di aiutare questo bambino.;m_tri030ait.wav;it;sadness
Perché sente che …;m_tri030bit.wav;it;sadness
… sarebbe come aiutare anche quell'altro.;m_tri030cit.wav;it;sadness
Devi renderti conto che quando io ero piccolo lui era più spesso via che a casa.;m_tri038ait.wav;it;sadness
Tanto che io cominciai a pensare che avessi una seconda vita altrove.;m_tri038bit.wav;it;sadness
Un'altra famiglia.;m_tri039ait.wav;it;sadness
Comunque sia lui preferisce la sua seconda vita.;m_tri041ait.wav;it;sadness
